ReviewID,Phrases,Phrase_Count
323,negative covid,3
323,hr negative,3
2490,tired jaded,3
576,travel ban,3
804,due faults,2
176,problem iberia,2
3393,miserable experience,2
575,lose money,2
1339,worse worse,2
657,fix problem,2
864,worst airline,2
365,delayed lack,2
2696,old tired,2
2088,old tired,2
1158,waste time,2
2485,error understand,2
1244,happened fault,2
1924,course problem,2
2722,totally useless,2
1422,worst ba,2
1399,problem configuration,2
2751,much criticism,2
3433,waste money,2
1437,worst ever,2
627,goes wrong,2
2083,painfully slow,2
1610,keep blaming,2
2485,forced purchase,2
255,luggage fiasco,2
795,despite best,2
2010,worse worse,2
3209,poor quality,2
2010,getting worse,2
2980,poor management,2
3272,bad idea,2
3531,poor service,2
2130,waste money,2
3452,waste money,2
2493,light broken,2
1075,nothing praise,2
1879,extremely disappointed,2
2434,extremely moody,2
147,legroom block,2
1549,incredibly rude,2
2202,wrong flight,2
2485,ticket forced,2
2202,name wrong,2
1327,technical problem,2
1778,worst airline,2
2885,airways disappointed,2
2788,technical fault,2
185,downright rude,2
1313,wrong menu,2
1317,disappointed seating,2
476,utterly awful,2
53,denied boarding,2
1977,tray broken,2
1811,really poor,2
1700,pain congestion,2
167,delayed missed,2
1810,disappointed expect,2
2407,technical problem,2
1437,poor service,2
2163,denied boarding,2
764,lost delayed,2
1984,poor service,2
1359,another problem,2
1558,also poor,2
2162,airways awful,2
130,utter contempt,2
2336,matters worse,2
3038,waste money,2
2071,biggest insult,2
2313,obviously distressed,1
2312,problem however,1
2312,pitiful impersonal,1
2313,flight badly,1
2312,staggering insult,1
2333,particularly unpleasant,1
2312,sorry mistake,1
2328,irritating british,1
2313,poor excuse,1
2327,year sad,1
2327,unhappy told,1
2313,rudely shouted,1
2313,distressing british,1
2333,feel abandoned,1
2328,least free,1
2331,weather problems,1
2313,distressed imagined,1
2328,seat waste,1
2313,deeply distressing,1
2328,waste time,1
2313,badly managed,1
2331,problems storm,1
2313,think poor,1
2312,worse take,1
2312,worry still,1
2312,way worry,1
2312,system bad,1
2333,abandoned warehouse,1
2327,sad see,1
2323,tired staff,1
2313,though crying,1
2314,seats broke,1
2315,ba fail,1
2315,cancelled lose,1
2315,fail counts,1
2312,insult paying,1
2315,lose deposit,1
2315,problems one,1
2315,worse ryanair,1
2316,problems encountered,1
2316,time problems,1
2319,problems food,1
2326,broken baggage,1
2325,registered blind,1
2319,rather misleading,1
2325,blind could,1
2323,bit tired,1
2315,airline worse,1
2326,disaster priority,1
2327,mins unhappy,1
2314,options disgusting,1
2313,tickets rudely,1
2313,told worry,1
2313,worry lots,1
2327,delay dismayed,1
2327,decant bloody,1
2327,bloody mary,1
2326,worst attitude,1
2326,worse trolley,1
2326,trolley worst,1
2326,terrible broken,1
2314,disgusting one,1
2326,riyadh terrible,1
2326,however disaster,1
2326,even worse,1
2314,incredibly uncomfortable,1
2314,broke new,1
0,delay forced,1
2312,got pitiful,1
2293,chaotic ground,1
2291,food awful,1
2291,heathrow sadly,1
2291,inadequate ratio,1
2291,plane dirty,1
2291,sadly british,1
2292,back poor,1
2292,heathrow poor,1
2292,poor communication,1
2292,poor punctuality,1
2293,check chaotic,1
2291,dirty excessive,1
2293,class waste,1
2293,waste money,1
2294,airport rude,1
2294,complaints would,1
2294,ibiza problem,1
2294,problem late,1
2294,quick complaints,1
2294,rude iberia,1
2296,get irritated,1
2291,flight inadequate,1
2291,awful leg,1
2312,disappointment without,1
2288,dirty flight,1
2285,completely unimpressed,1
2286,fault booking,1
2286,problem heathrow,1
2286,said fault,1
2286,underground problem,1
2287,awful rounds,1
2287,presentation awful,1
2288,bad although,1
2288,days dread,1
2288,dread flying,1
2290,blaming cancellations,1
2288,flight bad,1
2288,offerings poor,1
2288,poor compared,1
