ReviewID,Phrases,Phrase_Count
47,help us,6
3091,entertainment system,4
1081,customer care,3
246,inflight entertainment,3
402,arrived nice,3
557,great help,3
2992,nice experience,3
1301,customer care,3
3641,entertainment system,3
920,loyalty points,3
2386,crew friendly,2
2992,really nice,2
3595,great flight,2
164,nice though,2
2383,excessive hand,2
2383,hand baggage,2
3700,seat comfortable,2
1234,like like,2
2387,could better,2
1690,amuse bouche,2
2395,entertainment system,2
2395,flights entertainment,2
2533,help help,2
1514,nice back,2
1518,much superior,2
2530,entertainment system,2
1518,service best,2
1519,best airlines,2
722,make better,2
506,less comfortable,2
2995,much better,2
2995,comfortable seats,2
2808,excellent experience,2
770,good crew,2
3376,hand luggage,2
3376,food good,2
766,hand luggage,2
3003,greeted friendly,2
193,hand luggage,2
1924,customer care,2
3580,food good,2
2374,good quality,2
1696,attentive friendly,2
3199,good choice,2
3358,staff great,2
500,good value,2
3364,crew nice,2
2559,entertainment system,2
1255,good quality,2
1492,staff friendly,2
2379,hand luggage,2
2145,hand luggage,2
3202,good choice,2
170,help us,2
2982,friendly professional,2
3340,service good,2
2835,wines good,2
2835,duty free,2
1199,better days,2
1195,lovely flight,2
1195,flight great,2
1095,handled efficiently,2
2084,delighted service,2
1192,hand luggage,2
76,us free,2
3647,crew wonderful,2
3647,helpful cabin,2
3647,staff wonderful,2
3316,pretty good,2
3316,good flight,2
1991,save money,2
1991,third party,2
686,hand luggage,2
65,bright pink,2
2863,excellent service,2
3651,hand luggage,2
2074,hand luggage,2
1623,ba wish,2
2498,really good,2
1175,good seats,2
3641,inflight entertainment,2
3232,service relaxing,2
2404,entertainment system,2
3232,great service,2
2404,inflight entertainment,2
1016,would honor,2
1656,better usual,2
2836,definitely helps,2
1081,care agent,2
1524,hand luggage,2
716,hand luggage,2
101,care less,2
2105,comfortable departed,2
2105,clean comfortable,2
709,spoilt special,2
1090,comfort pretty,2
2970,friendly cabin,2
557,want thank,2
1534,free aisle,2
1090,pretty good,2
2520,clean comfortable,2
94,customer support,2
562,friendly professional,2
1537,one party,2
1199,seen better,2
3188,also good,2
1013,inflight entertainment,2
775,entertainment system,2
394,great service,2
1821,best seat,2
3082,hand baggage,2
1379,pretty good,2
1821,get best,2
1379,much better,2
324,help find,2
390,say success,2
2246,happily fly,2
1375,yes ba,2
3075,great new,2
